frame_time,visit_id,band,dream_band,ra,dec,airmass,zp_dream,sig_dream,zp_consdb,delta
2025-07-11 05:14:48.906000+00:00,2025071000406,z,B,2.1515527416531746,-7.776574892269313,2.3277649263841083,-0.04885556548833847,0.009760013781487942,31.522794723510742,-31.57165028899908
2025-07-11 05:14:48.906000+00:00,2025071000408,z,B,354.286874478681,-13.974930914581988,1.7252350081362868,0.005758719518780708,0.011063256300985813,31.567285537719727,-31.561526818200946
2025-07-11 05:14:48.906000+00:00,2025071000405,z,B,1.2998231260905975,-10.524123400312863,2.1751835022109525,0.005836037453263998,0.013834157027304173,31.533302307128906,-31.527466269675642
2025-07-11 05:14:48.906000+00:00,2025071000403,z,B,359.20917169261975,-8.09850960676206,2.157260182133834,-0.1317107379436493,0.05618646740913391,31.52230453491211,-31.65401527285576
2025-07-11 05:14:48.906000+00:00,2025071000404,z,B,354.63729901939706,2.49434958239479,2.2896304301507624,-0.07444866001605988,0.031482912600040436,31.507526397705078,-31.581975057721138
2025-07-11 05:14:48.906000+00:00,2025071000402,z,B,357.42217237378196,2.7671761953983727,2.5425538542850075,-0.06241527199745178,0.008799710310995579,31.486536026000977,-31.54895129799843
2025-07-11 05:14:48.906000+00:00,2025071000407,z,B,354.2868728624841,-13.974933396462003,1.7310064601222135,0.005758719518780708,0.011063256300985813,31.566635131835938,-31.560876412317157
2025-07-11 23:26:12.463000+00:00,2025071100180,i,B,257.9367414291273,-25.007913425157337,1.3572671825311724,0.005456201266497374,0.006520971190184355,32.00273132324219,-31.99727512197569
2025-07-11 23:26:12.463000+00:00,2025071100181,i,B,256.5687644325412,-22.331709427014133,1.3479566735403574,-0.0066668009385466576,0.006551256403326988,31.96840476989746,-31.975071570836008
2025-07-11 23:26:12.463000+00:00,2025071100184,i,B,254.07821341681174,-16.930014402779687,1.3394537578751393,0.004490765742957592,0.007510471623390913,31.958477020263672,-31.953986254520714
2025-07-11 23:26:12.463000+00:00,2025071100182,i,B,258.56080609034353,-20.044434668145623,1.403018965630046,0.004033172503113747,0.0069719282910227776,31.98662567138672,-31.982592498883605
2025-07-11 23:26:12.463000+00:00,2025071100183,i,B,255.28309958387703,-19.640893061217625,1.3401129726507919,-0.0015535294078290462,0.009044465608894825,31.96316146850586,-31.96471499791369
2025-07-11 23:26:12.463000+00:00,2025071100185,i,B,252.01412083975117,-19.244387056247632,1.283272385877201,0.007708077318966389,0.006925628986209631,31.958415985107422,-31.950707907788455
2025-07-11 23:26:12.463000+00:00,2025071100186,i,B,253.20827301401383,-21.922326245265833,1.2805243465326526,-0.002382516860961914,0.006945788394659758,31.955673217773438,-31.9580557346344
2025-07-18 03:54:05.439000+00:00,2025071700325,r,B,224.1387147218596,-20.75552906508424,1.6650754475803182,0.03435913845896721,0.005061493720859289,32.11016845703125,-32.07580931857228
2025-07-18 03:54:05.439000+00:00,2025071700326,r,B,224.13866198579976,-20.75552924377503,1.6698663698149245,0.03435913845896721,0.005061493720859289,32.102081298828125,-32.06772216036916
2025-07-18 03:54:05.439000+00:00,2025071700327,r,B,224.1386529394191,-20.755528708530484,1.6746930542284808,0.03435913845896721,0.005061493720859289,32.09799575805664,-32.06363661959767
2025-07-18 03:54:05.439000+00:00,2025071700328,r,B,224.13868852681145,-20.75552921191348,1.679526699343112,0.03435913845896721,0.005061493720859289,32.0931282043457,-32.058769065886736
2025-07-18 03:54:05.439000+00:00,2025071700329,r,B,224.13851553904607,-20.755529587864377,1.6844528747707261,0.03435913845896721,0.005061493720859289,32.078369140625,-32.04401000216603
2025-07-18 03:54:05.439000+00:00,2025071700330,r,B,224.13859064967858,-20.755529462867386,1.689386915076931,0.03435913845896721,0.005061493720859289,32.077030181884766,-32.0426710434258
2025-07-18 03:54:05.439000+00:00,2025071700331,r,B,224.1386964629334,-20.75552703303678,1.6943501584680245,0.03435913845896721,0.005061493720859289,32.077369689941406,-32.04301055148244
2025-07-18 03:54:05.439000+00:00,2025071700332,r,B,224.13862359691763,-20.75552851551545,1.6993561787689377,0.03435913845896721,0.005061493720859289,32.09266662597656,-32.058307487517595
2025-07-18 03:54:05.439000+00:00,2025071700333,r,B,224.13851085689055,-20.755528126724535,1.7044006032087151,0.03435913845896721,0.005061493720859289,32.08880615234375,-32.05444701388478
2025-09-16 01:56:51.066000+00:00,2025091500021,g,B,276.79635511710876,-25.85504945811967,1.1745189467952335,0.025884628295898438,0.005590339656919241,32.32347869873047,-32.29759407043457
2025-09-16 01:56:51.066000+00:00,2025091500022,g,B,276.79638258804346,-25.85504938054332,1.1761802046585677,0.025884628295898438,0.005590339656919241,32.29627990722656,-32.270395278930664
2025-09-16 01:56:51.066000+00:00,2025091500023,g,B,277.2338528087821,-25.85619325197207,1.1745277640117895,0.060039520263671875,0.007676348555833101,32.323455810546875,-32.2634162902832
2025-09-16 01:56:51.066000+00:00,2025091500024,g,B,277.23371907602376,-25.856143470521022,1.176179771202742,0.060039520263671875,0.007676348555833101,32.276920318603516,-32.216880798339844
2025-11-10 01:27:08.782000+00:00,2025110900076,r,B,0.34787771890824104,-0.38719883116031534,1.1541430099733279,-0.008670806884765625,0.0048477984964847565,32.21250915527344,-32.2211799621582
2025-11-10 01:27:08.782000+00:00,2025110900077,r,B,0.3478814874536552,-0.3872005535679799,1.1541226695604954,-0.008670806884765625,0.0048477984964847565,32.212318420410156,-32.22098922729492
2025-11-10 01:27:08.782000+00:00,2025110900078,r,B,0.3480721235470649,-0.38719921933517,1.1541102708160595,-0.008670806884765625,0.0048477984964847565,32.21348571777344,-32.2221565246582
2025-11-10 01:27:08.782000+00:00,2025110900079,r,B,0.34783045659037604,-0.38719471172380143,1.154105956731652,-0.008670806884765625,0.0048477984964847565,32.21304702758789,-32.221717834472656
2025-11-10 01:27:08.782000+00:00,2025110900080,r,B,0.3479004423543768,-0.3871967584539319,1.1541096802040474,-0.008670806884765625,0.0048477984964847565,32.213584899902344,-32.22225570678711
2025-11-14 04:16:40.032000+00:00,2025111300204,g,B,42.419617688752794,-60.291085409753954,1.1547072895292103,0.007526397705078125,0.005816719029098749,32.26116943359375,-32.25364303588867
2025-12-09 01:18:03.999000+00:00,2025120800034,r,B,3.7213522216138757,-31.846140412803347,1.0585612581330028,0.05201148986816406,0.003940381575375795,32.18235397338867,-32.13034248352051
2025-12-09 01:18:03.999000+00:00,2025120800035,r,B,3.721453542674546,-31.846140755479723,1.0593945825518007,0.05201148986816406,0.003940381575375795,32.186500549316406,-32.13448905944824
2025-12-09 01:18:03.999000+00:00,2025120800036,r,B,3.721540127512184,-31.846140223928444,1.0602288919737892,0.05201148986816406,0.003940381575375795,32.186744689941406,-32.13473320007324
2025-12-09 01:18:03.999000+00:00,2025120800037,r,B,3.721485277266562,-31.846139993152647,1.0610795440230558,0.05201148986816406,0.003940381575375795,32.19005584716797,-32.138044357299805
2025-12-09 01:18:03.999000+00:00,2025120800038,r,B,3.7215784961335223,-31.84614544711754,1.0619321956502477,0.05201148986816406,0.003940381575375795,32.187904357910156,-32.13589286804199
2025-12-09 01:18:03.999000+00:00,2025120800039,r,B,3.7213569739629726,-31.846139436461964,1.0627917574937809,0.05201148986816406,0.003940381575375795,32.184539794921875,-32.13252830505371
2025-12-10 07:37:30.352000+00:00,2025120900439,z,B,138.28098476259763,-56.08156966737199,1.1357830781429628,-0.008199691772460938,0.005364409647881985,31.573516845703125,-31.581716537475586
2025-12-10 07:37:30.352000+00:00,2025120900440,z,B,133.58481550477444,-57.338330782045134,1.1352616844066528,-0.0068759918212890625,0.004312962293624878,31.57577133178711,-31.5826473236084
2025-12-10 07:37:30.352000+00:00,2025120900441,z,B,129.88090011683644,-55.26659184919569,1.1089821135236766,-0.000823974609375,0.0016054910374805331,31.58388328552246,-31.584707260131836
2025-12-10 07:37:30.352000+00:00,2025120900442,z,B,134.33652002648734,-54.147584996110275,1.107118461856,-0.00411224365234375,0.003681306727230549,31.5762996673584,-31.580411911010742
2025-12-10 07:37:30.352000+00:00,2025120900443,z,B,130.58495926974499,-52.09363058981243,1.0835228137197888,-0.00411224365234375,0.003681306727230549,31.578561782836914,-31.582674026489258
2025-12-10 07:37:30.352000+00:00,2025120900444,z,B,126.35020512372343,-53.0791216633391,1.0863057190111902,-0.007068634033203125,0.0058936006389558315,31.59054946899414,-31.597618103027344
2025-12-10 07:37:30.352000+00:00,2025120900445,z,B,125.11602867953286,-56.20563205709482,1.1127007703039196,-0.007068634033203125,0.0058936006389558315,31.596839904785156,-31.60390853881836
2025-12-11 07:51:02.921000+00:00,2025121000403,z,B,121.98143778040685,-51.37975710805885,1.0739952847460361,-0.0031642913818359375,0.0024343649856746197,31.579116821289062,-31.5822811126709
2025-12-11 07:51:02.921000+00:00,2025121000404,z,B,126.279566195867,-50.66831273401711,1.0671988573284277,-0.0031642913818359375,0.0024343649856746197,31.54970932006836,-31.552873611450195
2025-12-11 07:51:02.921000+00:00,2025121000405,z,B,130.447225482298,-49.79284306335625,1.0626511106278875,0.0035648345947265625,0.0029935836791992188,31.56633758544922,-31.562772750854492
2025-12-11 07:51:02.921000+00:00,2025121000406,z,B,127.02309516083768,-47.60962659754087,1.0478773123933787,-0.00170135498046875,0.0022596153430640697,31.55409049987793,-31.5557918548584
2025-12-11 07:51:02.921000+00:00,2025121000407,z,B,122.97485373955303,-48.35672489190927,1.053851977442215,-0.0025348663330078125,0.0018319428199902177,31.578475952148438,-31.581010818481445
2025-12-11 07:51:02.921000+00:00,2025121000408,z,B,123.80575111889422,-45.35638191255492,1.0370862734579656,-0.004241943359375,0.003738309955224395,31.58551788330078,-31.589759826660156
2025-12-11 07:51:02.921000+00:00,2025121000409,z,B,119.8553045152649,-45.99070026482827,1.044727800769788,-0.00048828125,0.0020494365599006414,31.582948684692383,-31.583436965942383
2025-12-20 03:42:00.588000+00:00,2025121900118,i,B,38.727911527339266,-25.97286059145252,1.1558237355945415,0.04480171203613281,0.00688276719301939,31.856754302978516,-31.811952590942383
2025-12-20 03:42:00.588000+00:00,2025121900119,i,B,38.72787918915715,-25.972809632971696,1.158681913312579,0.04480171203613281,0.00688276719301939,,
2025-12-20 03:42:00.588000+00:00,2025121900120,i,B,38.728090826924586,-25.97286181318296,1.1607654179685587,0.04480171203613281,0.00688276719301939,,
2025-12-20 03:42:00.588000+00:00,2025121900121,i,B,38.72792324877542,-25.972862318493785,1.1632677465531402,0.04480171203613281,0.00688276719301939,31.855649948120117,-31.810848236083984
2025-12-24 03:08:13.503000+00:00,2025122300121,r,B,29.687859864276657,-24.490415621693526,1.220062560716789,0.033538818359375,0.00628436217084527,32.177528381347656,-32.14398956298828
2025-12-24 03:08:13.503000+00:00,2025122300122,r,B,29.687992415465455,-24.49047243809565,1.2220105671927441,0.033538818359375,0.00628436217084527,32.171775817871094,-32.13823699951172
2025-12-24 03:08:13.503000+00:00,2025122300123,r,B,30.197033558148267,-24.48985372784856,1.2200491199074524,0.033538818359375,0.00628436217084527,32.159019470214844,-32.12548065185547
